publishedAt,authorDisplayName,textDisplay,likeCount
2024-07-11T14:09:55Z,@mikhaelaazzahra9385,"Masya Allah, merinding denger cerita mereka. Bismillah sholawatin, semoga kita semua dimampukan utk memberikan pendidikan terbaik utk anak2, dan semoga anak2 kita pun mampu utk menjadi spt mereka❤❤❤ Amiiiiiin...",0
2024-07-11T14:08:46Z,@farahusman337,Koreksi min. Tulip itu asalnya dari Turki. Tapi Belanda memang terkenal sama tulip krn disana banyak tulip. Tapi asalnya dr turki,0
2024-07-11T14:08:34Z,@user-km9nr8ss3p,Keren cuy,0
2024-07-11T14:08:31Z,@fahmidwilaksono6969,"Seru banget nonton mereka di podcast ini ❤❤❤ Ini bukti bahwa masih banyak anak2 muda hebat di Indonesia. Akhir2 ini banyak yg meragukan kemampuan gen Z, tapi mereka datang utk bilang bahwa gen Z itu generasi emas, dan mereka membuktikan kalo talenta mereka yg diiringi kerja keras dan mentalitas pantang menyerah bisa membawa mereka menjadi anak2 jenius. Semoga semakin banyak generasi muda seperti ini yg bisa menjadi contoh baik bagi generasi2 muda Indonesia setelah mereka. Sukses selalu Ruang Guru yg udah ngumpulin anak2 hebat ini. Makasih Kak Densu yg udah ngundang mereka. Sukses selalu buat Xaviera, Shakira, dan Sandy!!!",0
2024-07-11T14:07:59Z,@user-yw1fw5tu7z,Selamat buat xaviera,0
2024-07-11T14:07:17Z,@riskatrinugrahaseptiani8542,wehhh bisabisanya sandy tau “toriq haji 2 bulan” 😭😭🤣,0
2024-07-11T14:07:09Z,@evaoktaviani5925,"Anak2 indonesia berkualitas yg wajib bgt diviralkan, semoga ini awal kemajuan generasi muda bangsa indonesia ❤",0
2024-07-11T14:07:07Z,@lilisdwi2979,Sss,0
2024-07-11T14:06:52Z,@KangUcup123,"Pas Masih Kecil : Jika Mereka Bisa, aku juga Harus Bisa <br>Pas Udah Dewasa : Jika Mereka Bisa, yudh biarin 😅😅",0
2024-07-11T14:05:59Z,@imamerlin2012,Yh ketebak klo team shakira lolos😂,0
2024-07-11T14:05:45Z,@tamanmain7722,Masya.Allah....sayang banget sama anak2 ini❤,0
2024-07-11T14:05:44Z,@sitichotimah3530,❤❤❤❤,0
2024-07-11T14:05:29Z,@RimmahNamirahNuroniah,bang densu tolong sediain hair stylist buat next bintang tamu yaaaaa<br>kasian sandy musuhan sama helm mang ojek,1
2024-07-11T14:04:22Z,@wawaaa5274,masyaallah mereka ngitung nya gada 1 detik 💀💀💀💀😭😭😭😭😭,0
2024-07-11T14:04:06Z,@henay.official9157,"Mantap bang denii, telah undang mereka🎉🎉 lancar terus karirnya 🎉 aamiin yaa Allah ❤",0
2024-07-11T14:04:06Z,@sitirubiatuladawiyah30,Bangga banget 👏🏼👏🏼👏🏼,1
2024-07-11T14:04:05Z,@susantoarif4095,Memotifasi banget.. Harus jadi contoh nih buat kita semua terutama generasi muda pelajar INDONESIA 💪💪💪💪,0
2024-07-11T14:03:27Z,@RezaPutraa-gi6um,bewan ajh sini bot,0
2024-07-11T14:04:25Z,@dzakimajidbinajir4342,apasi bocil,0
2024-07-11T14:09:01Z,@RezaPutraa-gi6um,@@dzakimajidbinajir4342  ayo bewan ajh kalo berani,0
2024-07-11T14:03:10Z,@AisyahNasih,lanjut undang axell sama maxwell,1
2024-07-11T14:03:09Z,@AshadieeyahFadhli,Shakira cocok ma fadil jaidi,0
2024-07-11T14:02:49Z,@rakaartian3574,"Gimana mau pinter, spp aja nunggu ujian dulu baru dibayar kok 😂",0
2024-07-11T14:02:48Z,@mauveocean9685,tontonan indonesia harusnya yang seprti ini,0
2024-07-11T14:02:30Z,@cicikn8267,Menyalaaa..,0
2024-07-11T14:01:58Z,@user-ve6qx1ws8u,Keren bgttt kaliaaannn,0
2024-07-11T14:01:51Z,@jullieztriieanny4706,Maa syaa Allah keren berkah sllu ilmunya aamiin,0
2024-07-11T14:00:56Z,@taniaanr,"Mereka keren bgtt, gua aja ga bisa bgtu😢😢 gua salut bgt dan insecure krna mereka seumuran gua bisa sepintar itu❤❤❤",0
2024-07-11T14:00:54Z,@RindiAntika-oj4pv,"Harus ada part ke 2 gasih,Seruu abissss 🤸",0
2024-07-11T14:00:38Z,@candralugai5451,Yang kayaj gini gak di undang di tv jangan yang viral joget di undang di tv,0
2024-07-11T14:00:34Z,@ceritanyaIsmala,Kereeeennnn acara mereka titik,0
2024-07-11T14:00:33Z,@user-ue7pl6fl6t,Kerennn❤,0
2024-07-11T14:00:28Z,@quran.dailyhd,"Ini yang membanggakan Indonesia, bukan willi salim yang ngejar followers 😂",1
2024-07-11T14:00:16Z,@maulidyarahmah8426,Kesini gara2 lihat di tiktok<br>❤anak muda seperti ini yang perlu di contoh,0
2024-07-11T14:00:00Z,@istybee5248,"MasyaAllah ❤<br>Keren sih ini.. 🎉🎉🎉<br>Ini terbukti bahwa anak-anak Indonesia juga gak kalah, proud of u all guys",0
2024-07-11T14:00:00Z,@trialdazahra,Ka shakira hidupnya penuh kata kata motivasi bgt ortunya keren😭💗,1
2024-07-11T13:59:47Z,@belindaalmira4922,Xaviera pinter,0
2024-07-11T13:59:43Z,@muhamadgalang8107,trending 1🔥🔥,0
2024-07-11T13:59:31Z,@santisanti1896,Ada ilmu yang di dapat dari mereka,0
2024-07-11T13:59:23Z,@deepdarkeu,"Please yang kaya gini kasih attention lebih yaaa, terus dukung merekaaa ❤️‍🔥❤️‍🔥❤️‍🔥",1
2024-07-11T13:59:09Z,@Saransingkat,🎉 trending #1 utk konten pendidikan 🔥,0
2024-07-11T13:58:53Z,@karmilabancin1508,seru bgtttt,0
2024-07-11T13:58:50Z,@nsch2501,"Enak ya, mereka kalo ngobrol tuh langsung sat set jawab keliatannya kayak ga perlu mikir terlalu banyak tp jawabannya wise dan tertata banget, aura confident-nya keluar banget. Jadi yg nonton pun jadi kebawa positive vibes-nya ❤",3
2024-07-11T13:58:38Z,@MylionsjNshsbbs,Kok gak undang axel Kevin sama Sandy aj,0
2024-07-11T13:58:19Z,@dianherdiana1510,Positif Vibes banget yaa mereka,0
2024-07-11T13:58:17Z,@bundamarsya-ri3ez,Gilak 1 di tranding dong wkwk,0
2024-07-11T13:58:13Z,@deaneofficialll,"SUKA BANGEEEETTTT, lucuuuu dan ada yang bisa diambil jugaa",0
2024-07-11T13:58:09Z,@user-em2dd4hd2d,Axel gak d ajak kasian,0
